,gtin_cd,gtin_nm
157,0073410003435,Sourdough
158,0073410012604,Bakery Light 100% Whole Wheat
159,0073410013502,100% Whole Wheat
160,0073410013519,Honey Whole Wheat
161,0073410013748,Double Protein
162,0073410032008,Seedless
163,0073410032053,Seeded
164,0073410117910,Extra Fiber
165,0073410135433,Sandwich Thins Rolls Honey Wheat
166,0073410135464,Sandwich Thins Rolls 100% Whole Wheat
167,0073410135471,Sandwich Thins Rolls Multi-Grain
168,0073410136232,100% Whole Wheat Sandwich Rolls
169,0073410163320,Hot Dog Rolls White
170,0073410164006,Hot Dog Rolls White New England
171,0073410312001,Stuffing Seasoned
172,0073410312100,Stuffing Unseasoned
173,0087684000946,Mountain Cooler Juice
174,0087684000953,Pacific Cooler Juice
175,0087684000960,Coastal Cooler Juice
176,0087684000991,Stawberry Kiwi Juice
177,0087684001011,Strawberry Juice
178,0087684001042,Surf Cooler Juice
179,0087684002872,Fruit Punch Juice
180,0836093001064,Juice Blueberry
181,0836093001071,Juice Apple
182,0836093002054,Juice Clementine
183,0836093002078,Juice Apple
184,0836093504091,Juice Ginger
185,0857063002072,Lemongrass Basil Chicken
186,0857063002089,Moroccan Lamb Stew
187,0857063002201,Chicken Nuggets
188,0857063002348,Turkish Figs & Goat Cheese
189,0857063002430,Bombay Spice Chickpeas
190,0857063002508,Artisan Roasted Chicken Broth
191,0857063002607,Tikka Masala
192,0857063002652,Harissa
193,0012000012068,Flavored Water - Raspberry
194,0012000031144,Flavored Water - Peach Mango
195,0033383007038,"Fuji WAXF 2 1/2\ 5lb"""
196,0033383010243,Cripps Pink WAXF 3lb 2 ½”
197,0033383300504,D'anjou US#1 2 1/8 3lb
198,0033383310664,Dark Sweet 4 Lb
199,0033383310695,Rainier 1 Lb
200,0039400016069,Original Baked Beans
201,0039400018940,Refried Black Beans
202,0039400019183,Texas Ranchero
203,0073410000267,12 Grain
204,0073410025901,Double Fiber
205,0073410032107,Melba Thin
206,0073410133101,Onion Sandwich Rolls
207,0073410310250,Stuffing Herb Seasoned
208,0073410311271,Stuffing Cornbread
