,brand_bsin,brand_img,brand_link,brand_nm,cal,cal_from_fat,calcium,chol_dv,chol_mg,country_iso_cd,diet_fiber_dv,diet_fiber_g,gcp_cd,gln_addr_02,gln_addr_04,gln_addr_city,gln_addr_postalcode,gln_cd,gln_country_iso_cd,gln_nm,gpc_s_cd,gtin_cd,gtin_img,gtin_nm,ingredients,iron,m_floz,m_g,m_ml,m_oz,owner_cd,owner_img,owner_link,owner_nm,owner_wiki_en,pkg_unit,pot_dv,pot_mg,prefix_nm,protein_g,return_code,sat_fat_dv,sat_fat_g,serv_ct,serv_size_g,serv_size_ml,sod_dv,sod_mg,sugars_g,tot_carb_dv,tot_carb_g,tot_fat_dv,tot_fat_g,trans_fat_g,vitamin_a,vitamin_c
10,D13UVY,http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg,http://www.bushbeans.com,Bush's best,140.0,10.0,4.0,0.0,0.0,US,20.0,5.0,0039400,P.O. Box 52330,TN,Knoxville,37950,0039400000006,US,Bush Brothers and Company,50000000,0039400015925,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400015925.jpg,Homestyle Baked Beans,,10.0,,,,16.0,,,,,,1,0.0,0.0,GS1 US,6.0,0,0.0,0.0,1.0,130.0,0.0,23.0,550.0,12.0,10.0,29.0,2.0,1.0,0.0,0,0.0
11,D13UVY,http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg,http://www.bushbeans.com,Bush's best,90.0,0.0,2.0,0.0,0.0,US,20.0,5.0,0039400,P.O. Box 52330,TN,Knoxville,37950,0039400000006,US,Bush Brothers and Company,50000000,0039400016731,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400016731.jpg,Butter Beans Large,,10.0,,,,16.0,,,,,,1,10.0,360.0,GS1 US,5.0,0,0.0,0.0,1.0,130.0,0.0,20.0,470.0,1.0,6.0,19.0,0.0,0.0,0.0,0,0.0
12,D13UVY,http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg,http://www.bushbeans.com,Bush's best,100.0,0.0,4.0,0.0,0.0,US,28.0,7.0,0039400,P.O. Box 52330,TN,Knoxville,37950,0039400000006,US,Bush Brothers and Company,50000000,0039400018070,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400018070.jpg,Pinto Beans Reduced Sodium,,8.0,,,,16.0,,,,,,1,9.0,310.0,GS1 US,6.0,0,0.0,0.0,1.0,130.0,0.0,9.0,220.0,0.0,6.0,18.0,0.0,0.0,0.0,0,0.0
13,D13UVY,http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg,http://www.bushbeans.com,Bush's best,105.0,5.0,6.0,0.0,0.0,US,28.0,7.0,0039400,P.O. Box 52330,TN,Knoxville,37950,0039400000006,US,Bush Brothers and Company,50000000,0039400018803,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400018803.jpg,Black Beans,,15.0,,,,15.0,,,,,,1,14.0,490.0,GS1 US,8.0,0,0.0,0.0,1.0,130.0,0.0,20.0,480.0,1.0,8.0,23.0,1.0,0.5,0.0,0,0.0
14,D13UVY,http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg,http://www.bushbeans.com,Bush's best,170.0,5.0,6.0,0.0,0.0,US,24.0,6.0,0039400,P.O. Box 52330,TN,Knoxville,37950,0039400000006,US,Bush Brothers and Company,50000000,0039400019107,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400019107.jpg,Bourbon and Brown Sugar,,10.0,,624.0,,22.0,,,,,,1,0.0,0.0,GS1 US,7.0,0,0.0,0.0,1.0,130.0,0.0,20.0,480.0,15.0,12.0,35.0,1.0,0.5,0.0,0,0.0
15,D13UVY,http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg,http://www.bushbeans.com,Bush's best,110.0,10.0,4.0,0.0,0.0,US,20.0,5.0,0039400,P.O. Box 52330,TN,Knoxville,37950,0039400000006,US,Bush Brothers and Company,50000000,0039400019589,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400019589.jpg,Bold & Spicy Baked Beans,,10.0,,,,16.0,,,,,,1,0.0,0.0,GS1 US,6.0,0,0.0,0.0,1.0,130.0,0.0,23.0,560.0,9.0,8.0,24.0,2.0,1.0,0.0,6,0.0
16,D13UVY,http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg,http://www.bushbeans.com,Bush's best,160.0,10.0,6.0,0.0,0.0,US,24.0,6.0,0039400,P.O. Box 52330,TN,Knoxville,37950,0039400000006,US,Bush Brothers and Company,50000000,0039400019848,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400019848.jpg,Honey Baked Beans,,10.0,,454.0,,16.0,,,,,,1,0.0,0.0,GS1 US,6.0,0,0.0,0.0,1.0,130.0,0.0,23.0,540.0,14.0,11.0,32.0,2.0,1.0,0.0,0,0.0
17,FCKJ3R,http://product.okfn.org.s3.amazonaws.com/images/brand/FCKJ3R.jpg,http://www.looza.be,Looza,150.0,0.0,0.0,0.0,0.0,US,10.0,3.0,0045587,Spitalgasse 2,,Ch 3011 Bern,,0045587000005,CH,Frito-Lay Trading Company GmbH,50000000,0045587529100,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-004/0045587529100.jpg,Pear Nectar,"WATER,PEAR PUREE CONCENTRATE,SUGAR,ASCORBIC ACID (TO PROTECT FLAVOR)",0.0,33.8,,,,000012,http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg,http://www.pepsico.com,Pepsico,http://en.wikipedia.org/wiki/Pepsico,1,0.0,0.0,GS1 US,0.0,0,0.0,0.0,4.0,0.0,240.0,0.0,10.0,34.0,12.0,36.0,0.0,0.0,0.0,0,0.0
18,R1TS5M,http://product.okfn.org.s3.amazonaws.com/images/brand/R1TS5M.jpg,http://www.arnoldbread.com,Arnold,1.5,2.0,4.0,0.0,0.0,US,3.0,0.99,0073410,255 Business Center Dr,PA,Horsham,19044,0071330000008,US,"Orograin Bakeries Manufacturing, Inc.",50000000,0073410003053,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-007/0073410003053.jpg,White,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR,MALTED BARLEY FLOUR,REDUCED IRON,NIACIN,THIAMIN MONONITRATE,(VITAMIN B1),RIBOFLAVIN (VITAMIN B2),FOLIC ACID],WATER,SUGAR,YEAST,SOYBEAN OIL,SALT,MONOGLYCERIDES,CALCIUM PROPIONATE (PRESERVATIVE),CALCIUM SULFATE,GRAIN VINEGAR,CITRIC ACID,SOY LECITHIN,DATEM,WHEAT GLUTEN,WHEY,SOY FLOUR,NONFAT MILK",8.0,,680.0,,24.0,,,,,,1,0.0,0.0,GS1 US,3.0,0,0.0,0.0,16.0,43.0,0.0,6.0,150.0,3.0,7.0,22.0,0.0,0.0,0.0,0,0.0
19,R1TS5M,http://product.okfn.org.s3.amazonaws.com/images/brand/R1TS5M.jpg,http://www.arnoldbread.com,Arnold,1.5,2.0,4.0,0.0,0.0,US,4.0,1.0,0073410,255 Business Center Dr,PA,Horsham,19044,0071330000008,US,"Orograin Bakeries Manufacturing, Inc.",50000000,0073410003558,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-007/0073410003558.jpg,Oatmeal,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR,MALTED BARLEY FLOUR,REDUCED IRON,NIACIN,THIAMIN MONONITRATE (VITAMIN B1),RIBOFLAVIN (VITAMIN B2),FOLIC ACID],WATER,OATS,SUGAR,WHEAT GLUTEN,YEAST,SOYBEAN OIL,SALT,CALCIUM PROPIONATE (PRESERVATIVE),MONOGLYCERIDES,DATEM AND/OR SODIUM STEAROYL LACTYLATE,GRAIN VINEGAR,CALCIUM SULFATE,CITRIC ACID,CALCIUM CARBONATE,SOY LECITHIN,WHEY,SOY FLOUR,NONFAT MILK.",6.0,,680.0,,24.0,,,,,,1,0.0,0.0,GS1 US,4.0,0,0.0,0.0,16.0,43.0,0.0,6.0,150.0,3.0,7.0,21.0,0.0,0.0,0.0,0,0.0
